Container has 10000 elements
1. "sKJt5AkLHhxXNY", Hash=88; Replacements: 2 (N-O B-j); Result: "sKJt5AkLHhxXOY"
"3t92m", Hash=76.6; Replacements: 20 (p-231 Z-186 G-13 h-92 7-227 Q-228 a-147 U-183 T-232 W-243 w-79 s-145 8-101 e-141 M-132 H-50 J-155 S-26 K-189 6-16); Result: [51 116 57 50 109]
"", Hash=0; Replacements: 11 (S-P r-U W-W A-m V-a O-I a-L y-9 J-K U-k 8-i); Result: ""
"MAP0Y9", Hash=69.3333; Shift: 4; Result: "‘ïì"
"S3d4Lp96P4veJPXQ", Hash=78.6875; Shift: 6; Result: "‘ÃNçùYíT"
"", Hash=0; Shift: 4; Result: ""
"9xw14S 6SDp1ejnsF", Hash=81.1765; Replacements: 9 (7-X Z-0 s-f o-s S-l h-b l-n e-O 4-y); Result: "9xw1yl 6lDp1OjnfF"
"M2HC2GY Los01YDl", Hash=73.25; Replacements: 15 (B-r C-k t-y P-w j-h I-4 8-8 f-j G-B L-a n-o M-c 7-n p-x k-V); Result: "c2Hk2BY aos01YDl"
"PL4BEZ9vRe", Hash=79.1; Replacements: 15 (D-m z-2 u-o 3-k N-p w-D B-A v-e T-Y K-T n-E M-u S-6 x-S y-w); Result: "PL4AEZ9eRe"
"C", Hash=67; Replacements: 5 (1-C j-z F-1 p-n i-e); Result: "C"
"4", Hash=52; Replacements: 15 (w-x a-4 h-  C-s q-c k-1 K-k U-A B-8 e-O N-j 6-W J-e v-S W-T); Result: "4"
"daR93HQWp8I", Hash=78.9091; Replacements: 9 (8-42 C-119 r-197 6-59 i-51 U-115 g-157 I-139 E-244); Result: [100 97 82 57 51 72 81 87 112 42 139]
"JK1jF5M8qfQBTsTMD", Hash=79.4118; Shift: 15; Result: "%•ò5#ö¶∏3®!*π*¶""
"Gm4Vf8DGv7Y7", Hash=77.6667; Shift: 18; Result: "µ–Yô‡Ÿ‹e‹"
"uHD8345oa1l", Hash=75.8182; Replacements: 13 (o-188 a-180 b-161 0-194 y-45 J-94 Y-65 Z-174 f-202 j-199 3-26 c-220 I-3); Result: [117 72 68 56 26 52 53 188 180 49 108]
"OPI", Hash=77.3333; Replacements: 18 (d-D b-J O-M 7-a 9-m r-Q p-v w-w J-L B-3 T-z L-d z-4 0-u H-k 3-t e-j K-b); Result: "MPI"
"8ZF", Hash=72; Replacements: 7 (0-203 8-111 T-12 H-106 B-2 5-215 n-231); Result: [111 90 70]
"WjB Is", Hash=79.8333; Replacements: 18 (j-246 M-161 4-101 C-250 I-133 e-212 t-43 V-149 R-174 n-9 i-145 7-125 b-129 o-14 U-225 m-3 X-215 B-2); Result: [87 246 2 32 133 115]
"kA6D 4O", Hash=65.2857; Shift: 11; Result: "[
±"°z"
"", Hash=0; Replacements: 5 (h-33 9-225 t-209 g-39 m-138); Result: []
"", Hash=0; Replacements: 3 (m-C J-Z T-E); Result: ""
"GcUTUC", Hash=81.8333; Replacements: 20 (g-J k-Z b-P 2-E q-V D-7 E-f V-z  -U I-j C-e G-N r-O F-R 3-A a-  Z-5 w-2 A-1 W-B); Result: "NcUTUe"
"1Zr45JN5fgMBu4rCx", Hash=81.2353; Replacements: 14 (1-g 5-r j-k h-M v-2 J-w F-y b-B O-A B-p 3-e P-i c-O G-0); Result: "gZr4rwNrfgMpu4rCx"
"3Fa", Hash=72.6667; Shift: 2; Result: "ÃÖ"
"aBjQBGg233", Hash=74.2; Replacements: 19 (3-H  -g q-n C-o w-2 R-r 7-y Y-e t-q F-3 5-c i-8 L-W m-a I-l 0-R 9-s H-0 M-K); Result: "aBjQBGg2HH"
"hhd79a6Ds3NjV MWYEl", Hash=80.8947; Shift: 18; Result: "°°ë‹‰ÖÿÕÃ9©YÄ5]e±"
"", Hash=0; Replacements: 6 (M-218 V-207 o-163 W-214 T-203 O-8); Result: []
"4S5R", Hash=67.5; Shift: 13; Result: "Üj¶J"
"HC5q7I6CpB7", Hash=71.5455; Replacements: 5 (H-200 p-88 G-28 R-191 F-13); Result: [200 67 53 113 55 73 54 67 88 66 55]
"P90Xe2c4", Hash=71.875; Replacements: 4 (U-9 Z-0 L-n  -5); Result: "P90Xe2c4"
"", Hash=0; Replacements: 6 (b-m C-q t-l S-7 z-A I-9); Result: ""
"DF", Hash=69; Replacements: 18 (K-101 G-202 4-17 c-43 3-111 O-115 i-99 5-250 A-206 R-200 S-44 8-224 6-93 a-88  -116 U-110 C-239 p-182); Result: [68 70]
"Y RpA", Hash=76; Shift: 1; Result: "≤@§‡Ç"
"L84ftPQ", Hash=80.4286; Replacements: 7 (e-J S-l u-t G-O 9-G o-o F-m); Result: "L84ftPQ"
"7Y7Au2blkOTqY yFQRFB", Hash=81.55; Replacements: 1 (I-56); Result: [55 89 55 65 117 50 98 108 107 79 84 113 89 32 121 70 81 82 70 66]
"", Hash=0; Replacements: 2 (h-214 R-32); Result: []
"JPD2BEhP0Vrn7tHG", Hash=78.9375; Shift: 9; Result: "î†àdÑä–†`¨‰‹nËêé"
"c9", Hash=78; Replacements: 4 (a-144 g-73 Z-251 c-154); Result: [154 57]
"bZrA665Jn ", Hash=74.4; Replacements: 11 (D-114 B-23 E-102  -143 k-33 G-63 T-12 u-152 s-79 z-179 U-7); Result: [98 90 114 65 54 54 53 74 110 143]
"VCus9CHm870Z1V2Xjo9", Hash=78.2105; Shift: 17; Result: "¨ÜÍÊrÜê⁄pn`¥b¨d∞‘ﬁr"
"1EEzFh", Hash=80.5; Shift: 0; Result: "1EEzFh"
"C36XHlv", Hash=79.7143; Replacements: 12 (X-h j-N M-I V-g 6-B B-C d-L r-p F-A L-w H-t C-M); Result: "M3Bhtlv"
"2GHxR2aZkvKHFhe57", Hash=81.5882; Replacements: 1 (s-C); Result: "2GHxR2aZkvKHFhe57"
"2ZOpCWXVRLO", Hash=81.4545; Shift: 17; Result: "d¥û‡ÜÆ∞¨§òû"
"u aJBo723XLR", Hash=74.9167; Replacements: 15 (v-K R-r 6-x h-c e-v A-n t-f j-G x-7 r-e n-S S-u B-W K-1 G-q); Result: "u aJWo723XLr"
"b76kVG7G5CrL", Hash=75.5833; Replacements: 15 (3-z p-q 1-S b-  m-5 w-G X-l 8-Y W-7 l-W R-r u-U o-H t-h F-B); Result: " 76kVG7G5CrL"
"F2Vk6kU", Hash=79.8571; Shift: 10; Result: "»Y≠ÿ≠U"
"6", Hash=54; Replacements: 16 (f-90 O-106 5-250 y-188 E-163 l-222 c-253 m-204 M-15 1-156 8-64 q-175 o-130 3-79 t-112 H-74); Result: [54]
"", Hash=0; Replacements: 12 (t-8 U-W s-K j-m q-2 b-v v-Y T-E w-0 a-e S-f L-J); Result: ""
"CTfp EC8XtW8pdFg0", Hash=80.5294; Replacements: 1 (3-161); Result: [67 84 102 112 32 69 67 56 88 116 87 56 112 100 70 103 48]
"n3gH1HpHdB5", Hash=78.1818; Replacements: 3 (q-52 k-134 o-37); Result: [110 51 103 72 49 72 112 72 100 66 53]
" jXL3WjaDa21RaKow", Hash=81.8235; Replacements: 5 (o-254 1-208 J-3 h-16 N-104); Result: [32 106 88 76 51 87 106 97 68 97 50 208 82 97 75 254 119]
"BJoJd5cTTVGG", Hash=81.0833; Shift: 18; Result: "	)Ω)ë‘çQQY"
"iQAK", Hash=81.5; Replacements: 3 (J-107 A-223 c-230); Result: [105 81 223 75]
"", Hash=0; Shift: 15; Result: ""
"GOmCB", Hash=78.4; Replacements: 9 (O-M w-N a-I Q-L I-m F-B T-V f-g N-9); Result: "GMmCB"
"3Ii", Hash=76.3333; Replacements: 14 (c-30 z-142 u-12 T-168 K-179 V-39 Y-223 M-252 x-229 l-130 q-45 W-176 Q-181 a-201); Result: [51 73 105]
"67ihKePb94BMIC5x", Hash=77.3125; Shift: 2; Result: "ÿ‹•°-ïAâ‰–	5%‘·"
"462Eqr R", Hash=70.75; Replacements: 18 (4-P 9-z d-0 C-g 8-B u-j h-y p-b k-x 5-o q-v 2-M V-N 7-E a-I x-n v-U P- ); Result: "P6MEvr R"
"5PsNF1S1o5IeJNe", Hash=77.8667; Shift: 11; Result: "©Çõr2âöâ{©J+Rr+"
"9", Hash=57; Replacements: 13 (o-1 V-g O-p L-i j-R r-4 H-I M-q n-W q-5 J-x b-e 5-z); Result: "9"
"j1L24", Hash=66.6; Replacements: 3 (6-z d-T w-y); Result: "j1L24"
"MUh 7e6SYBW", Hash=75.7273; Replacements: 2 (s-255 o-9); Result: [77 85 104 32 55 101 54 83 89 66 87]
"", Hash=0; Shift: 5; Result: ""
"", Hash=0; Replacements: 12 (h-218 F-166 b-236 q-65 Z-51 Y-4 4-234 z-145 W-186 T-78 A-83 t-22); Result: []
"8FTj5Lbt34T03nYjBXtj", Hash=81.3; Replacements: 8 (p-I r-K u-X x-Z t-S d-x O-  H-0); Result: "8FTj5LbS34T03nYjBXSj"
"FcT3B6M83A4iEZdZ", Hash=73.6875; Replacements: 0 (); Result: "FcT3B6M83A4iEZdZ"
"", Hash=0; Replacements: 19 (G-S m-i p-N 9-Z U-B S-g y-p R-D o-1 g-H D-o r-7 Z-c b-V e-k Q-w 5-K t-U h-5); Result: ""
"", Hash=0; Replacements: 9 ( -73 H-215 9-248 5-106 t-20 J-148 Z-159 0-104 8-213); Result: []
"0gDA", Hash=71; Replacements: 7 (6-7 g-o l-q k-Z s-V 4-X Q-S); Result: "0oDA"
"K6Nl3NK1Y3CNG ", Hash=68.2857; Replacements: 14 (5-k I-l R-3 v-x Z-P r-Q Y-  z-y E-L 3-J 1-F a-E u-O s-m); Result: "K6NlJNKF JCNG "
"0", Hash=48; Shift: 20; Result: ""
"", Hash=0; Replacements: 18 (Q-t F-W z-j 9-X J-a N-F e-O b-S B-7 q-l Y-  A-D j-E v-x S-M H-p l-B 1-f); Result: ""
" 0F9w4RN7qX9bS9dE", Hash=74; Replacements: 2 (2-i l-J); Result: " 0F9w4RN7qX9bS9dE"
"g3ZQcsIPqIOHT 6AjQ", Hash=80.6111; Replacements: 13 (i-118  -41 q-149 P-45 h-164 I-246 o-216 4-128 t-245 2-229 8-212 X-191 J-129); Result: [103 51 90 81 99 115 246 45 149 246 79 72 84 41 54 65 106 81]
"1XP2gKYzdGA", Hash=81.0909; Replacements: 18 (4-74 J-222 i-207 F-111 q-185 X-94 1-1 5-234 d-52 9-237 W-247 e-198 z-209 L-242 Q-178 6-236 N-30 A-160); Result: [1 94 80 50 103 75 89 209 52 71 160]
"8X2q j", Hash=74.1667; Replacements: 17 (A-155 b-127 P-146 V-176 D-253 X-220 o-8 x-163 0-115 C-144 Y-108 U-28 R-213 S-46 G-226 t-139 M-126); Result: [56 220 50 113 32 106]
"E7sF044OqU1ji", Hash=76.7692; Replacements: 6 (K-7 S-19 N-18 b-140 D-46 p-203); Result: [69 55 115 70 48 52 52 79 113 85 49 106 105]
"BWjsg8ElT8f0aH6S3", Hash=79.8235; Replacements: 7 (m-A 9-5 C-y 0-2 E-o  -O 4-z); Result: "BWjsg8olT8f2aH6S3"
"K0yVDWKCB7sgb", Hash=81.8462; Shift: 6; Result: "“^ï’“–êÕ‹Ÿò"
"i2", Hash=77.5; Shift: 9; Result: "“d"
"Pd2B6WIzLGv", Hash=81.5455; Replacements: 15 (R-11 q-17 w-193 P-75 I-52 D-223 7-144 V-99 C-182 s-122 g-251 E-29 F-102 x-162 G-39); Result: [75 100 50 66 54 87 52 122 76 39 118]
"94ILCF8iCsOozZ4dSW", Hash=81.2222; Replacements: 18 (S-21 B-102 t-58 3-147 2-35 a-87 K-253 D-168 7-39 I-37 R-19 k-226 A-103 8-233 N-40 c-106 f-8 H-189); Result: [57 52 37 76 67 70 233 105 67 115 79 111 122 90 52 100 21 87]
"D", Hash=68; Shift: 4; Result: "D"
"L", Hash=76; Replacements: 10 (O-7 M-63 w-111 T-147 X-87 K-46 t-30 b-78 Y-25 0-57); Result: [76]
"fGHORCjJ", Hash=81.625; Replacements: 4 (3-E Y-6 m-w R-b); Result: "fGHObCjJ"
"e4DK", Hash=74; Replacements: 17 (G-k o-3 h-W W-y 3-i l-g 8-P H-c c-h U-m A-4 B-U q-o  -0 d-q Q-n j- ); Result: "e4DK"
"2Z", Hash=70; Shift: 1; Result: "d¥"
"4RxhORAkC7 ", Hash=76.8182; Shift: 19; Result: "°í√Czí
[π"
"r VCKvZE", Hash=81.375; Replacements: 12 (3-156 J-237 W-177 Q-249 x-210 0-72 1-14 E-48 L-225 z-57 k-8 N-82); Result: [114 32 86 67 75 118 90 48]
"0", Hash=48; Shift: 8; Result: "0"
"6Y 5qNe0n", Hash=75.3333; Replacements: 4 (F-6 u-L E-q  -v); Result: "6Yv5qNe0n"
"i UX1DDgbyU24", Hash=77.2308; Replacements: 3 (V-111 b-101 4-87); Result: [105 32 85 88 49 68 68 103 101 121 85 50 87]
"9j", Hash=81.5; Replacements: 10 (D-A m-5 4-i 8-C A-0 l-q Z-l c-j 9-x v-V); Result: "xj"
"U018zgDTRWHGX3", Hash=76.1429; Replacements: 8 (b-47 5-66  -109 k-7 d-130 9-253 F-123 Z-205); Result: [85 48 49 56 122 103 68 84 82 87 72 71 88 51]
"5BDWX", Hash=72.4; Shift: 9; Result: "jÑàÆ∞"
"h09QNIIjGTe qRW", Hash=79.3333; Replacements: 1 (I-d); Result: "h09QNddjGTe qRW"
"", Hash=0; Replacements: 14 (K-F k-0 9-l G-t 3-T J-S Y-5 m-c 4-f g-O 7-h 8-Q o-P U-r); Result: ""
"Me83F9Q18C5", Hash=65.2727; Replacements: 18 (e-W J-1 G-t p-e A-G y-Y u-P W-3 P-9 X-L x-h O-Q 2-B a-D r-A o-n q-C N-d); Result: "MW83F9Q18C5"
"s4ZbJ9GegXML eU3g", Hash=80.8235; Replacements: 7 (b-194 R-229 V-74 v-11 o-151 3-243 g-91); Result: [115 52 90 194 74 57 71 101 91 88 77 76 32 101 85 243 91]
"4CfSF0FnCH FeZFixF", Hash=77.7222; Replacements: 19 (9-9 f-D T-H I-f 5-5 N-n 2-v  -X s-x A-7 j-w 0-A a-F c-8 q-  3-P p-d X-r m-R); Result: "4CDSFAFnCHXFeZFixF"
"", Hash=0; Replacements: 4 (i-34 A-153 6-115 V-233); Result: []
"xDX104kVI", Hash=76.7778; Replacements: 2 (M-G m-6); Result: "xDX104kVI"
"", Hash=0; Replacements: 19 (A-6 C-X t-f X-C U-F O-a 6-w j-r H-S q-m E-K w-0 M-b r-p 5-x P-d L-M m-y s-5); Result: ""
"", Hash=0; Replacements: 6 (w-3 3-70 b-44 y-25 t-39 n-11); Result: []
"eVDSm7e0NFGW", Hash=79.75; Shift: 2; Result: "ïYMµ‹ï¿9]"
"IyUU0SJRJ AK", Hash=74.75; Replacements: 20 (U-9 p-r y-T  -t 5-4 k-S K-3 M-f t-L G-X C-8 9-J m-p I-M z-m e-H v-0 g-2 F-g V-l); Result: "MT990SJRJtA3"
"yTjJOKI920Pv", Hash=80.4167; Replacements: 17 (T-170 t-95 R-160 U-163 b-14 v-84 P-85 j-128 c-176 5-55 h-217 9-164 g-173 u-186 o-162 d-38 r-218); Result: [121 170 128 74 79 75 73 164 50 48 85 84]
"mPF3aI", Hash=80; Replacements: 19 (c-166 z-174 D-17 U-177 B-56 C-185 W-24 S-102 o-137  -86 0-60 P-161 Q-54 r-129 g-106 k-79 7-142 3-8 b-146); Result: [109 161 70 8 97 73]
"xWJM4OIsyY4 G", Hash=80.1538; Replacements: 20 ( -128 e-81 P-228 I-70 G-246 a-142 0-174 Z-229 o-108 2-9 j-54 w-186 7-132 D-0 l-102 R-215 J-196 E-32 8-97 Y-26); Result: [120 87 196 77 52 79 70 115 121 26 52 128 246]
"mBwJR8H38mPpG", Hash=81.3077; Replacements: 12 (v-J p-X J-u t-k W-O C-I Q-c O-o x-v c-Z e-a d-d); Result: "mBwuR8H38mPXG"
"W3d Rj1", Hash=72.4286; Shift: 7; Result: "´ô2)5ò"
"A4k5kRMgDKE3P", Hash=76.0769; Replacements: 8 (C-G 1-u r-H v-e h-o q-n f-8 L-X); Result: "A4k5kRMgDKE3P"
"", Hash=0; Replacements: 14 (z-k 0-X s-r 9-8 L-b p-7 D-a B-c W-A V-l x-1 T-N m-9 l-P); Result: ""
"K5J9Px1H5eM44uoAS", Hash=75.9412; Replacements: 4 (q-129 x-68 d-84 j-199); Result: [75 53 74 57 80 68 49 72 53 101 77 52 52 117 111 65 83]
"ZG34h7SSn", Hash=77.6667; Replacements: 4 (J-X k-r  -k a-N); Result: "ZG34h7SSn"
"B94eT", Hash=72; Shift: 3; Result: "…°+¢"
"CP", Hash=73.5; Shift: 17; Result: "Ü†"
"V1A", Hash=66.6667; Replacements: 7 (l-H Z-G A-C 6-u 2-8 z-o k-b); Result: "V1C"
"UIt6x9Gqa7MLTi7Z8", Hash=81.4118; Shift: 1; Result: "™íËlré‚¬nöò®“n¥p"
"M6MTe ", Hash=70.8333; Shift: 0; Result: "M6MTe "
"DRO", Hash=76.3333; Replacements: 2 ( -K f-2); Result: "DRO"
"RceRi77170i2k57AAxt5", Hash=76; Replacements: 3 (R-28 H-48 a-100); Result: [28 99 101 28 105 55 55 49 55 48 105 50 107 53 55 65 65 120 116 53]
"0l5ENc2Wm9j0", Hash=76; Shift: 0; Result: "0l5ENc2Wm9j0"
"EGCW", Hash=73.5; Shift: 15; Result: "¢£°´"
"01l6SfN9G3PKFBBAox0", Hash=73.7895; Replacements: 12 (Y-61 T-165 I-40 c-25 A-96 P-100 Z-60 x-28  -204 6-105 j-221 d-81); Result: [48 49 108 105 83 102 78 57 71 51 100 75 70 66 66 96 111 28 48]
"RL9zk7gMN11", Hash=77.7273; Replacements: 6 (z-t b-F w-P p-R R-w J-B); Result: "wL9tk7gMN11"
" 7Ye2jpU", Hash=78.75; Shift: 8; Result: " 7Ye2jpU"
"J", Hash=74; Replacements: 12 (o-110 t-217 b-229 1-210 J-55 w-56 A-31 l-26 Q-182 m-241 M-219 z-46); Result: [55]
"0ZDFRu", Hash=79.1667; Replacements: 20 (v-209 n-229 b-116 k-13 6-92 w-188 T-107 2-244 W-16 c-179 q-169 L-195 f-170 Z-186 s-33 x-30 C-228 p-120 U-237 Y-175); Result: [48 186 68 70 82 117]
"N2Uol9WMc8", Hash=80.8; Replacements: 9 (g-242 Y-95 z-139 t-88 n-108 6-167 d-244 A-199 1-138); Result: [78 50 85 111 108 57 87 77 99 56]
"AndW3JD", Hash=79.2857; Replacements: 4 (R-G p-R 4-Z r-3); Result: "AndW3JD"
"", Hash=0; Shift: 6; Result: ""
"", Hash=0; Replacements: 15 (L-175 4-61 P-10 C-127 d-2 e-69 S-35 f-20 D-202 r-18 A-218 B-53 X-0 K-136 q-130); Result: []
"IeB", Hash=80; Replacements: 15 (x-186 7-187 3-28 O-32 H-10 5-116 X-172 b-103 C-251 o-255 I-27 n-197 2-63 D-67 Z-33); Result: [27 101 66]
"qWr37sX47  ", Hash=72.1818; Replacements: 18 (w-N F-D T-B d-t R-U c-s j-a 4-h 1-H Z-l 7-K 9-y X-P W-o P-I v-O G-W 8-7); Result: "qor3KsPhK  "
"2YBajC", Hash=79.1667; Replacements: 18 (R-8 d-7 p-n z-T 5-W 7-t n-i 4-U g-Z U-p I-6 j-4 P-e Y-D V-A i-H h-9 q-S); Result: "2DBa4C"
"", Hash=0; Replacements: 17 (2-85 a-60 Y-131 B-195 Z-59 y-166 F-57 K-158 t-109 e-11 R-198 G-120 f-7 6-78 i-121 0-90 A-244); Result: []
"5i5LCEOWOrMSnY", Hash=81.5; Replacements: 1 (O-J); Result: "5i5LCEJWJrMSnY"
"P7", Hash=67.5; Replacements: 4 (N-v 9-p J-7 A-g); Result: "P7"
" WaNOR2TGAzCH", Hash=75.8462; Replacements: 7 (D-A B-n W-a M-  7-d S-V Y-C); Result: " aaNOR2TGAzCH"
"h j4VV", Hash=77.6667; Replacements: 11 (h-158 n-106 c-69 u-4 H-203 M-109 d-235 P-23 m-6 5-49 v-128); Result: [158 32 106 52 86 86]
" 5jLF3r pPweTJEAIk7", Hash=77.5263; Shift: 11; Result: "©Sb2ôìÉÇª+¢R*
J[π"
" w", Hash=75.5; Replacements: 16 (b-27 E-44 Z-126 o-16 R-160 W-61 9-8 3-11 T-130 q-79 L-133 j-219 K-218 z-154 F-48 H-85); Result: [32 119]
"6jIaFN4", Hash=75.7143; Replacements: 6 (8-74 E-12 G-169 r-179 2-105 7-250); Result: [54 106 73 97 70 78 52]
"2xWe6UqEo63AiMO", Hash=81.4; Replacements: 4 ( -235 s-101 Y-225 m-125); Result: [50 120 87 101 54 85 113 69 111 54 51 65 105 77 79]
"5T51m", Hash=69.6; Shift: 9; Result: "j®jb⁄"
"f6dS5h24R8", Hash=73.6; Shift: 6; Result: "ôç‘Måî"
"", Hash=0; Replacements: 19 (d-67 K-106 Q-13 R-107 E-182 y-29 O-60 P-92 Y-90 2-131 S-154 p-233 5-223 T-138 B-204 t-226 r-254 b-164 e-172); Result: []
"QY2hCKJ9KYWDWl JMPtB", Hash=77.8; Shift: 3; Result: "ä ëCZR…Z ∫"∫cRjÇ£"
"QQxbJVF5QIK08d3", Hash=76.4667; Shift: 5; Result: "**LI »¶*)iåf"
"8ri5 Xvc7Z", Hash=81; Replacements: 10 (I-84 3-129 Z-165 O-50 J-132 j-153 T-247 d-52 L-230 a-210); Result: [56 114 105 53 32 88 118 99 55 165]
"H", Hash=72; Shift: 2; Result: "!"
"", Hash=0; Shift: 10; Result: ""
"", Hash=0; Shift: 7; Result: ""
"FV6TO2w", Hash=77.4286; Replacements: 6 (m-B B-Z g-3 h-r c-C s-R); Result: "FV6TO2w"
"", Hash=0; Replacements: 11 (F-179 I-246 f-124 Q-91 y-182 j-178 h-75 A-64 R-70 d-0 x-204); Result: []
"J2", Hash=62; Replacements: 10 (G-C T-k b-z z-7 D-B h-A E-0 g-v q-2 n-3); Result: "J2"
"RKD", Hash=75; Replacements: 1 (n-178); Result: [82 75 68]
" LB5DgnhR", Hash=77.1111; Replacements: 6 (S-n  -y 4-8 f-9 Y-X 6-6); Result: "yLB5DgnhR"
"HR", Hash=77; Replacements: 18 (n-7 E-s 8-L g-h 5-r z-f A-8 p-T K-x 9-g x-o T-e B-1 S-J W-i w-d R-W P-K); Result: "HW"
"u6jlmD036E", Hash=78.4; Replacements: 5 (G-A A-a F-L u-r n-j); Result: "r6jlmD036E"
"070Dmi", Hash=72.1667; Replacements: 3 (X-238 w-188 1-145); Result: [48 55 48 68 109 105]
"", Hash=0; Replacements: 9 (I-I M-p H-4 F-O a-f Z-D 5-7 d-r P-w); Result: ""
"z4EfpA34CO", Hash=77.1; Replacements: 3 (h-g i-z 6-G); Result: "z4EfpA34CO"
"OfhN4xG3W2bLFA3XfC", Hash=78.3889; Replacements: 0 (); Result: "OfhN4xG3W2bLFA3XfC"
"5C5RUhU3", Hash=72.5; Shift: 13; Result: "¶h¶J™™f"
"0neC31iRA", Hash=75.3333; Replacements: 4 (P-V 8-i S-0 2-u); Result: "0neC31iRA"
"3BBXlUPd88", Hash=75.6; Replacements: 5 (T-164 3-217 a-71 n-146 c-127); Result: [217 66 66 88 108 85 80 100 56 56]
"", Hash=0; Shift: 18; Result: ""
"FhC7Io8eVH", Hash=79.5; Replacements: 6 (B-Q X-3 n-q W-H D-s A-t); Result: "FhC7Io8eVH"
"BGnfH57npKR4vcQ4i5", Hash=81.5556; Replacements: 14 (s-7 E-v t-a K-m H-P I-6 h-X i-x 9-J v-2 q-z 5-p f-S w-c); Result: "BGnSPp7npmR42cQ4xp"
"9KPbR4J5Y6II", Hash=71.6667; Shift: 2; Result: "‰-AâI–)‘eÿ%%"
"6y04w 4e1qLUKKrI6v2X", Hash=77.45; Shift: 6; Result: "ç^›YL\U““úRçùå"
"7s6Je", Hash=79.8; Replacements: 12 (8-208 M-0 X-76 9-171 f-124 0-4 x-255 4-33 S-140 m-10 h-186 C-19); Result: [55 115 54 74 101]
"b5KOF50", Hash=68; Shift: 20; Result: "&S¥ÙdS"
"8a", Hash=76.5; Shift: 5; Result: ","
"FjBCvp0I4387peG1d", Hash=76.8824; Replacements: 20 (d-0 D-N I-k Z-S 4-y S-h W-T X-G w-B s-X 3-s M-i Q-j F-p T-7 V-n O-d 1-v p-q R-F); Result: "pjBCvq0kys87qeGv0"
"j PjEO1", Hash=74.4286; Replacements: 19 (l-226 I-52 j-153 g-108 X-27 A-33 4-173 P-36 r-47 8-55 x-161 y-231 h-166 V-238 K-10 M-184 k-219 C-77 t-92); Result: [153 32 36 153 69 79 49]
"A2qbIQ2 rT0AUVb1", Hash=74.4375; Replacements: 8 (w-M 8-e X-m G-w H-0 m-O x-G V-q); Result: "A2qbIQ2 rT0AUqb1"
"Y64V5J", Hash=68; Replacements: 17 (d-9 n-t 2-m Z-0 M-l h-3 U-q s-  V-Q l-h v-D y-Z H-F g-a 9-w i-M X-G); Result: "Y64Q5J"
"4sB7wJeDLEyT KGp3n", Hash=80.6111; Replacements: 0 (); Result: [52 115 66 55 119 74 101 68 76 69 121 84 32 75 71 112 51 110]
"9", Hash=57; Replacements: 16 (K-36 9-59 D-116 v-185 V-177 J-16 U-33 e-78 F-79 z-223 G-51 5-254 c-80 p-39 s-234 q-227); Result: [59]
"Oxv U0Z", Hash=81.7143; Replacements: 4 (s-10 I-43 3-14 7-62); Result: [79 120 118 32 85 48 90]
"", Hash=0; Replacements: 20 (d-75 O-30 k-129 p-12 D-167 l-97 L-184 0-194 K-146 P-177 w-109 U-64 f-169 9-119 i-235 b-59 2-161 H-106 5-165 V-46); Result: []
"Z7LERVC", Hash=75; Replacements: 4 (g-15 G-100 1-241 e-21); Result: [90 55 76 69 82 86 67]
"36LyA d3w1mb8 z8TVl", Hash=77.3158; Replacements: 6 (o-205 m-67 V-17 L-27 Z-95 s-159); Result: [51 54 27 121 65 32 100 51 119 49 67 98 56 32 122 56 84 17 108]
"4Vd5F1", Hash=68.3333; Replacements: 19 (9-T x-a F-S 7-L 5-i s-f C-N d-A b-w I-G X-o r-j E-c m-v Z-e l-I g-V J-9 V-3); Result: "43AiS1"
"kqWVbH6sW404", Hash=80.9167; Replacements: 5 (1-h Y-i z-J l-W A-U); Result: "kqWVbH6sW404"
"", Hash=0; Replacements: 0 (); Result: []
"j2ePQ3", Hash=78.1667; Replacements: 3 (P-139 9-240 R-16); Result: [106 50 101 139 81 51]
"bsL81vYSE5RuZ 94I", Hash=77; Replacements: 19 (7-82 m-211 l-64 u-17 k-147 f-93 5-184 d-227 O-67 G-243 n-116 o-29 Y-5 W-164 Z-199 X-157 U-156 z-247 i-6); Result: [98 115 76 56 49 118 5 83 69 184 82 17 199 32 57 52 73]
"IIQED0", Hash=68.6667; Replacements: 17 (H-69 Z-74 u-111 5-226 t-119 R-155 Y-245 2-127 a-35 3-44 J-170 c-4 8-195 m-112 I-252 g-110 r-90); Result: [252 252 81 69 68 48]
"67H84TSynp Lq6", Hash=76.7143; Replacements: 7 (p-n c-F s-Q r-w m-u Z-6 f-7); Result: "67H84TSynn Lq6"
" ms24", Hash=71.6; Shift: 3; Result: "kõë°"
"", Hash=0; Replacements: 2 (S-L O-o); Result: ""
"3dh81e", Hash=76.8333; Replacements: 7 (L-150 E-243 n-234 f-171 4-111 w-231 G-13); Result: [51 100 104 56 49 101]
"", Hash=0; Replacements: 6 (u-K  -C H-x 2-7 G-W 9-a); Result: ""
"AHP", Hash=72.3333; Replacements: 18 (U-5 L-S R-X 6-6 3-8 7-F u-i q-Z N-3 4-M H-P w-T a-q i-f S-B M-b 5-4 h-o); Result: "APP"
"", Hash=0; Replacements: 7 (c-151 p-237 w-127 C-14 K-90 s-99 V-220); Result: []
