Container has 1000 elements
1. "sKJt5AkLHhxXNY", Hash=88; Replacements: 2 (N-O B-j); Result: "sKJt5AkLHhxXOY"
962. "N", Hash=78; Replacements: 7 (J-46 T-9 o-148 L-136 u-17 r-144 k-48); Result: [78]
963. "9erJZQt", Hash=90.4286; Shift: 17; Result: "r ‰î¥¢Ë"
964. "TOc izlLdhFwFua", Hash=92.1333; Shift: 13; Result: "äÈl-Oçâå»Ó»Æ,"
965. "GVKndeegDJyckXyQiJ", Hash=93.6111; Replacements: 16 (N-180 7-179 4-28 J-102 h-64 a-115 u-86 H-244 1-172 w-159 A-104 F-24 I-99 X-157  -8 O-128); Result: [71 86 75 110 100 101 101 103 68 102 121 99 107 157 121 81 105 102]
966. "mBjksp41YrsvqsMafo7A", Hash=94.35; Shift: 17; Result: "⁄Ñ‘÷Ê‡hb≤‰ÊÏ‚Êö¬ÃﬁnÇ"
967. "3rkbHur", Hash=96.1429; Shift: 20; Result: "3'∂&ÑW'"
968. "Q0upnpTXn", Hash=95.7778; Shift: 11; Result: "äÅ´ÉsÉ¢¬s"
969. "3kpo8", Hash=87.4; Replacements: 16 (l-x C-L 3-s B-v i-1 N-F T-h 2-q r-t W-4 x-K h-  A-G D-N k-Q L-J); Result: "sQpo8"
970. "zBmLS Ze", Hash=84.875; Replacements: 2 (9-225 4-67); Result: [122 66 109 76 83 32 90 101]
971. "6KY9dv W", Hash=76.5; Replacements: 8 (X-t w-I f-d q-H J-2 s-R n-z 8-r); Result: "6KY9dv W"
972. "u", Hash=117; Shift: 1; Result: "Í"
973. "6x5pmOrdTvMk8EDd962", Hash=83.2105; Shift: 15; Result: "<ö8∂ß92*;¶µ¢"2ú"
974. "8GgjpApUhp0sjRBekKZ", Hash=90.3158; Shift: 1; Result: "péŒ‘‡Ç‡™–‡`Ê‘§Ñ ÷ñ¥"
975. "JS3ZZAoqYge7", Hash=85.4167; Replacements: 19 (N-9 r-Q b-w z-m D-o 5-W u-0 J-5 W-e q-a 3-q M-u E-d V-z 0-8 C-p t-s X-b Z-r); Result: "5SqrrAoaYge7"
976. "EehmPMf5ZG DSGXph", Hash=83.1765; Replacements: 15 (7-7 6-R w-J G-  5-0 q-B E-W x-8 o-F F-g 4-v 8-l z-P 9-X c-T); Result: "WehmPMf0Z  DS Xph"
977. "G9JLlvie0o2sD4bzp", Hash=87.4118; Replacements: 11 (e-249 h-181 V-121 U-6 f-104 w-246 z-11 5-38 1-188 R-134 3-24); Result: [71 57 74 76 108 118 105 249 48 111 50 115 68 52 98 11 112]
978. "xCItqVoALjDfIDnz", Hash=92.25; Replacements: 17 (p-m f-0 w-V D-I A-h l-7 0-f V-Q r-G 2-A T-X u-z 1-W E-p e-t H-H 4-5); Result: "xCItqQohLjI0IInz"
979. "Hzt3gTF0zE6zHPkcGws", Hash=89.2632; Replacements: 16 (Y-83 7-150 E-17 Q-240 K-234 L-175 t-105 Z-252 S-7 n-233 r-213 k-122 B-24 I-204 A-51 G-230); Result: [72 122 105 51 103 84 70 48 122 17 54 122 72 80 122 99 230 119 115]
980. "DkgYo t", Hash=89.4286; Replacements: 20 (s-2 7-q e-p 5-  M-D T-K b-Z z-k 0-8 B-V R-n X-a c-M O-H v-U U-b p-e x-t t-X 8-i); Result: "DkgYo X"
981. "jyRaXBs5fj2w", Hash=92.0833; Replacements: 5 (w-83 f-155 E-128 x-117 5-244); Result: [106 121 82 97 88 66 115 244 155 106 50 83]
982. "Y31", Hash=63; Replacements: 7 (r-r e-o z-C c-  i-h A-a f-t); Result: "Y31"
983. "fvwH", Hash=102.75; Replacements: 11 (v-8 n-G 5-d D-7 l-5 X-T  -w U-r g-v T-O t-p); Result: "f8wH"
984. "hY4usB", Hash=90.5; Replacements: 6 (g-155 n-107 h-242 O-133 b-149 d-148); Result: [242 89 52 117 115 66]
985. "SMGW5rX 29PgDWWviCn", Hash=80.8947; Shift: 8; Result: "SMGW5rX 29PgDWWviCn"
986. "8TfDUK9E3HFbSHXW", Hash=76.0625; Shift: 10; Result: "‡QôU-‰Ã!âM!a]"
987. "psjVM", Hash=99.2; Replacements: 9 (h-i F-8 T-p l-n A-U n-Y c-q S-V K-l); Result: "psjVM"
988. "E", Hash=69; Shift: 4; Result: "T"
989. "", Hash=0; Shift: 20; Result: ""
990. "ZzTG1DIeb AHNSqBH", Hash=78.6471; Replacements: 5 (h-6 g-9 e-n Y-5 j-Q); Result: "ZzTG1DInb AHNSqBH"
991. "yAn", Hash=98.6667; Shift: 1; Result: "ÚÇ‹"
992. "eHlh", Hash=96.25; Shift: 2; Result: "ï!±°"
993. "xiDjXB8s IN9m", Hash=82.5385; Replacements: 20 (z-155 0-226 L-240 h-67 i-235 a-214 2-80 8-152 5-106 F-250 H-64 w-181 K-103 r-74 m-168 R-7 g-48 c-110 j-143 M-39); Result: [120 235 68 143 88 66 152 115 32 73 78 57 168]
994. "bYJTEzndzF831R3su8L5", Hash=82.2; Replacements: 11 (1-T q-D Z-F N-u 5-Q k-p B-E s-a h-J i-4 Q-B); Result: "bYJTEzndzF83TR3au8LQ"
995. "WahtEYzHj7ZBeOIAanm", Hash=89.8421; Replacements: 3 (Y-237 I-207 s-238); Result: [87 97 104 116 69 237 122 72 106 55 90 66 101 79 207 65 97 110 109]
996. "NUXlZxrp Fv0h", Hash=89.7692; Shift: 3; Result: "r™¬c“√ìÉ2≥ÅC"
997. "OakIRM64pqDhEyE", Hash=85.1333; Shift: 14; Result: "”X⁄RîSç\Q^Q"
998. "ZP6F", Hash=73.5; Replacements: 6 (T-a x-w S-E H-B M-3 s-9); Result: "ZP6F"
999. "96U68nIUxyb5", Hash=80.5; Replacements: 1 (0-208); Result: [57 54 85 54 56 110 73 85 120 121 98 53]
1000. "c", Hash=99; Replacements: 9 (u-O p-S v-B I-u Z-s S-D g-t h-V t-l); Result: "c"


Mean: 82.451284
Move Result: 
"KJcF", Hash=79.5; Replacements: 20 (W-P h-o e-U S-5 J-K D-B G-Y u-2 r-p p-n E-S l-Q C-r Y-x X-k n-l g-d 5-O U-e m-W); Result: "KKcF"
"1", Hash=49; Replacements: 15 (B-W j-P K-2 m-7 f-o F-X o-e x-v M-c U-C d-A T-q W-Y D-d L-8); Result: "1"
"k99B", Hash=71.75; Replacements: 17 (k-73 u-3 f-66  -95 Z-222 w-38 D-89 h-75 E-79 R-208 6-193 t-233 y-35 U-210 W-255 m-31 9-162); Result: [73 162 162 66]
"7W", Hash=71; Shift: 18; Result: "‹]"
"JBHmBu2qnlSPcA2ZS ", Hash=81.5; Shift: 3; Result: "RBk´ëãscöÇ
ë“ö"
"J", Hash=74; Shift: 13; Result: "I"
"S h6WEd8HnBzWnCL", Hash=80.9375; Shift: 0; Result: "S h6WEd8HnBzWnCL"
"sOLnC9Nf1815tBdUHOW4", Hash=77.4; Shift: 11; Result: "õzbs…r3â¡â©£#™Bz∫°"
"oO38Fb5yM7", Hash=77.1; Replacements: 4 (a-162 S-204 l-94 U-68); Result: [111 79 51 56 70 98 53 121 77 55]
"r2fJ0U", Hash=78.8333; Replacements: 17 (H-144 v-208 X-139 6-39 c-226 R-56 N-160 y-156 U-235 V-224 s-95 x-80 3-178 p-94 n-180 O-163 b-68); Result: [114 50 102 74 48 235]
"63vGqz1i45h", Hash=81.0909; Replacements: 17 (a-S i-6 r-a y-n Y-F 3-f b-m 8-1 k-P O-t 5-y n-L o-s M-4 p-D 2-N I-9); Result: "6fvGqz164yh"
"Vz8ds942Mv2", Hash=80.2727; Replacements: 10 (d-F  -H v-8 J-C p-5 6-E r-  a-T 7-U M-7); Result: "Vz8Fs942782"
"Rz01WqAV9", Hash=78.7778; Replacements: 11 (J-G Z-2  -C E-t 1-m x-u I-v i-X e-U W-Q z- ); Result: "R 0mQqAV9"
"MQMI9Ciz27qmAAB", Hash=78.8; Replacements: 18 (L-9 P-8 M-R c-2 m-u K-A T-V 5-5 s-F R-S z-l 6-3 g-p x-Q N-O 8-w h-n i- ); Result: "RQRI9C l27quAAB"
"", Hash=0; Replacements: 6 (o-Q t-5 v-c K-Z a-K b-b); Result: ""
"kDgg6q6Jyu9EQ5U5C", Hash=81.1176; Shift: 8; Result: "kDgg6q6Jyu9EQ5U5C"
"L0", Hash=62; Replacements: 1 (r-138); Result: [76 48]
"", Hash=0; Shift: 20; Result: ""
"c5j8G14ADytx8XXb3a74", Hash=78.05; Shift: 11; Result: "©S¡:â°
"À£√¡¬¬ôπ°"
"XG5Alk", Hash=82; Replacements: 14 (9-q v-B 0-9 i-h p-N e-A A-p K-y G-d O-j k-b a-W z-e j-4); Result: "Xd5plb"
"RAFd53rPR", Hash=77.4444; Replacements: 19 (i-206 q-192 s-49 n-230 V-170 b-84 Z-124 A-21 K-175 R-65 J-158 B-202 f-129 0-87 6-45 C-20 8-248 9-247 c-179); Result: [65 21 70 100 53 51 114 80 65]
"", Hash=0; Replacements: 13 (G-X g-s A-m X-u K-M 9-w t-q 4-2 Z-v D-x c-W M-Q Q-8); Result: ""
"W KY GhKL ytRKrUFg", Hash=79.9444; Shift: 8; Result: "W KY GhKL ytRKrUFg"
"WKh4lP9rCQihEYCT5u1", Hash=82.2105; Shift: 3; Result: "∫ZC°cÇ…ìäKC* ¢©´â"
"JEG7bCoQ", Hash=78.25; Shift: 11; Result: "R*:π{ä"
"3tvikKnCIy 1V5e k4", Hash=80.8333; Replacements: 1 (v-252); Result: [51 116 252 105 107 75 110 67 73 121 32 49 86 53 101 32 107 52]
"lSoBV08c", Hash=82.125; Replacements: 2 (s-178 j-149); Result: [108 83 111 66 86 48 56 99]
"4X26tc sDwqQTtId746", Hash=80.0526; Replacements: 16 (i-167 J-138 5-229 3-170 Y-195 x-113 l-231 I-210 E-19 V-222 4-59 q-99 F-226 O-253 b-190 N-127); Result: [59 88 50 54 116 99 32 115 68 119 99 81 84 116 210 100 55 59 54]
"", Hash=0; Replacements: 3 (z-82 d-74 Q-59); Result: []
"Yi4B", Hash=78; Shift: 1; Result: "≤“hÑ"
"", Hash=0; Shift: 15; Result: ""
"FZ6BI7m", Hash=73.8571; Replacements: 17 (x-X M-n u-Z k-4 K-  p-m 9-T 5-1 L-9 I-G U-C q-R i-I W-d Y-2 P-F X-k); Result: "FZ6BG7m"
"rQrt10 O", Hash=79.125; Replacements: 19 (O-58 z-24 F-6 V-216 l-53 N-25 T-232 B-250 a-236 U-135 E-16 5-5 H-14 8-245 t-214 b-88 g-237 h-163 2-137); Result: [114 81 114 214 49 48 32 58]
"", Hash=0; Replacements: 19 (d-30 E-74 4-175 S-58 F-195 q-165 L-187 H-57 Z-83 A-84 a-255 M-206 r-11 1-151 3-235 0-97 K-239  -191 I-80); Result: []
"rIFUk5I", Hash=82.1429; Replacements: 19 (q-126 9-80 b-224 X-160 4-208 o-213 k-150 1-209 a-6 r-122 5-107 u-155 x-253 0-251 z-96 v-254 t-117 y-46 i-162); Result: [122 73 70 85 150 107 73]
"Dn1D QP8", Hash=68; Replacements: 20 (e-q y-9 T-F N-M G-1 V-3 X-j 2-v 9-g z-s a-Q 4-B o-6 W-N H-c 8-P A-2 c-y K-5 x-o); Result: "Dn1D QPP"
"8VQv9", Hash=79.6; Replacements: 8 (l-Q S-f G-L I-I k-2 C-t A-J K-k); Result: "8VQv9"
"IshKD74yGPV", Hash=81.8182; Replacements: 9 (l-71 1-213 n-248 Y-165 y-206 e-183 x-169 8-126 o-141); Result: [73 115 104 75 68 55 52 206 71 80 86]
"", Hash=0; Replacements: 20 (j-134 g-207 I-120 Q-201 z-247 5-188 n-84 P-55 b-77 1-125 O-10 x-143 V-48 m-64 M-9 D-119 v-244 i-204 4-58 d-43); Result: []
"3kP5qKg0eTp8XZV3", Hash=81.125; Replacements: 2 (i-250 U-139); Result: [51 107 80 53 113 75 103 48 101 84 112 56 88 90 86 51]
"", Hash=0; Replacements: 13 (x-131 G-29 o-116 D-14 e-255 d-102 4-98 k-81 A-159 g-218 F-236 9-46 P-22); Result: []
"V2aZkV5Wl1", Hash=81.3; Replacements: 7 (I-43 4-218 F-151 y-89 1-249 T-56 L-226); Result: [86 50 97 90 107 86 53 87 108 249]
"BcDoM7", Hash=79.3333; Replacements: 18 (n-98 O-135 W-187 l-109 p-129 b-189 T-230 K-241 H-114 j-177 2-118 w-67 f-167 L-169 Z-65 4-206 i-82 U-47); Result: [66 99 68 111 77 55]
"I", Hash=73; Replacements: 8 ( -6 s-K z-1 t-Y l-h w-q g-j S-X); Result: "I"
"CK", Hash=71; Replacements: 11 (M-e w-P n-h B-f q-8 c-N s-W L-V 5-p Z-s m- ); Result: "CK"
"b95A3", Hash=64.8; Shift: 6; Result: "òNMPÃ"
"SeNEimSG2pAAP2ecQ12", Hash=79; Shift: 16; Result: "SeNEimSG2pAAP2ecQ12"
"kjRK BMIsx 55", Hash=76.2308; Replacements: 14 (g-P V-w 9-x n-y I-J l-5 D-E o-o h-1 8-4 z-f x-  J-O Y-c); Result: "kjRK BMJs  55"
"", Hash=0; Replacements: 15 (X-k A-v w-Q M-i I-S u-t d-W n-6 i-u R-p B-g F-r K-7 T-C e-N); Result: ""
"n6M", Hash=80.3333; Shift: 9; Result: "‹lö"
"OB6IE00reUN6TJIsH", Hash=75.7059; Replacements: 0 (); Result: [79 66 54 73 69 48 48 114 101 85 78 54 84 74 73 115 72]
"zKh47da27e", Hash=81.1; Replacements: 0 (); Result: [122 75 104 52 55 100 97 50 55 101]
"0H3NhX2ru795TAoOJ", Hash=76.4706; Replacements: 20 (b-139 6-163 X-207 C-25 8-195 i-202 Z-236 m-110 U-46 d-13 5-128 2-75 V-248 W-66 B-182 L-97 n-164 l-99 D-203 e-134); Result: [48 72 51 78 104 207 75 114 117 55 57 128 84 65 111 79 74]
"r0l50QwJsOc7P5i", Hash=82.0667; Replacements: 12 (M-98 n-222 c-21 e-0 5-53 W-22 4-163 X-240 j-12 m-128 0-217 D-139); Result: [114 217 108 53 217 81 119 74 115 79 21 55 80 53 105]
"", Hash=0; Replacements: 17 (Y-113 6-165 3-17 v-58 Q-138 P-104 M-249 4-252 b-250 0-117 S-65 I-30 8-9 V-102 k-80 y-121  -56); Result: []
"", Hash=0; Shift: 2; Result: ""
"aJ9Ck9kXVITI", Hash=80.8333; Replacements: 11 (6-12 D-84 E-250 C-195 a-207 7-116 0-217 8-132 i-244 e-175 2-170); Result: [207 74 57 195 107 57 107 88 86 73 84 73]
"38GIdel", Hash=80; Replacements: 13 (B-214 u-85 S-168 x-73 K-66 I-230 g-183 5-13 M-205 9-109 V-116 o-82 q-203); Result: [51 56 71 230 100 101 108]
"jXDY9WOXCPNiK", Hash=82.0769; Shift: 10; Result: "©ae‰]=aA9•-"
"BzuG9TeChYX9ksQK2M ", Hash=82.1053; Replacements: 8 (j-V W-N G-k S-n K-8 7-6 L-  0-U); Result: "Bzuk9TeChYX9ksQ82M "
"5QqW9", Hash=78.2; Shift: 2; Result: "‘E≈]‰"
"2G5Ku", Hash=73.2; Shift: 14; Result: "å—M“]"
"CIvB", Hash=81; Replacements: 5 (u-h y-q e-v Y-V b-2); Result: "CIvB"
"", Hash=0; Shift: 10; Result: ""
"TJK", Hash=77.6667; Shift: 10; Result: "Q)-"
"f2hUNSH0IRw11Umm sb", Hash=81.1579; Shift: 2; Result: "ô»°U9M!¿%I›ƒƒUµµÄÕâ"
"08b7meFXqAAV5uC", Hash=79.4; Replacements: 11 (2-0 w-c U-i l-S 8-d 6-P r-p t-K n-o L-f Y-9); Result: "0db7meFXqAAV5uC"
"", Hash=0; Replacements: 0 (); Result: []
"9giAJItyL9cGL5 PAgck", Hash=81.6; Replacements: 5 (v-2 F-4 N-u 2-j V-3); Result: "9giAJItyL9cGL5 PAgck"
"SNc4XSGAWNBHVcb", Hash=80.3333; Shift: 4; Result: "5‰6CÖ5tu‰$Ñe6&"
"7OKfDQYo9Ny1oFQ9", Hash=80.25; Replacements: 4 (0-35 P-89 Q-197 T-40); Result: [55 79 75 102 68 197 89 111 57 78 121 49 111 70 197 57]
"0E7T", Hash=64; Shift: 14; Result: "QÕ"
"v aIEkCC1", Hash=75.4444; Replacements: 15 (Q-137 p-178 B-119 X-226 e-111 n-110 T-98 7-224 0-66 O-124 K-217 G-86 k-47 j-45 P-169); Result: [118 32 97 73 69 47 67 67 49]
"HRq4CIROkv7", Hash=81.8182; Replacements: 7 (S-194 k-149 1-144 V-178 P-143 q-8 4-243); Result: [72 82 8 243 67 73 82 79 149 118 55]
"", Hash=0; Shift: 2; Result: ""
"FI3dX75N2Y3iO8kE1Pb", Hash=73.7368; Shift: 16; Result: "FI3dX75N2Y3iO8kE1Pb"
"OF7RF9TE9XhNHHOVXs18", Hash=75.5; Replacements: 19 (p-W A-N L-n U-P z-K b-y k-S M-p o-Z x-w t-3 j-L O-t c-0 s-r S-f T-m V-F e-v); Result: "tF7RF9mE9XhNHHtFXr18"
"m7X6GMEw W", Hash=76.1; Replacements: 19 (V-75 l-253 I-137 8-148 T-224 c-1 q-245 1-183 J-34 D-178 M-28 W-192 A-24 f-208 t-21 x-126 y-56 0-41 H-27); Result: [109 55 88 54 71 28 69 119 32 192]
"z3AXP", Hash=81.2; Replacements: 20 (q-175  -112 c-161 H-238 Y-63 M-51 B-55 W-184 u-227 F-108 d-155 S-180 D-252 6-83 t-79 o-172 O-120 K-148 3-159 h-13); Result: [122 159 65 88 80]
"03B2D", Hash=56.6; Shift: 4; Result: "3$#D"
"4329IbHoFJy11YDb9C", Hash=72.5556; Replacements: 9 ( -3 B-k j-E 5-  s-R 1-Z C-4 D-y 4-n); Result: "n329IbHoFJyZZYyb94"
"PRBBLP06708zY8nYPUp", Hash=76.5263; Shift: 17; Result: "†§ÑÑò†`ln`pÙ≤p‹≤†™‡"
"MoHBi iAD0dz7X0dFikO", Hash=81.15; Replacements: 9 (Z-247 O-140 1-173 x-233 t-176 F-3 n-9 Y-174 2-208); Result: [77 111 72 66 105 32 105 65 68 48 100 122 55 88 48 100 3 105 107 140]
"JFJU", Hash=75.75; Replacements: 15 (L-124 R-171 m-48 V-137 6-2 i-15 Y-160 X-4 2-197 5-79 k-139 K-113 x-102 7-105 C-233); Result: [74 70 74 85]
"1XBGB2DbwfUsgA", Hash=81.7857; Replacements: 19 (2-57 a-248 k-255 o-101 O-10 z-20 F-251 g-249 K-242 i-98 I-191 9-83  -159 f-154 V-164 P-146 t-165 N-185 E-169); Result: [49 88 66 71 66 57 68 98 119 154 85 115 249 65]
"", Hash=0; Replacements: 20 (z-y G-f l-6 q-m 9-J 4-Q C-k B-  7-g D-0 I-j S-A x-X M-q L-L 8-h R-K c-p 1-8 X-s); Result: ""
"", Hash=0; Shift: 19; Result: ""
"SW1", Hash=73; Shift: 18; Result: "M]ƒ"
"lU5AdVL", Hash=81.8571; Shift: 18; Result: "±U‘ëY1"
"QE33OLV", Hash=70.4286; Replacements: 7 (Q-46 s-119 5-213 r-137 C-255 T-60 0-36); Result: [46 69 51 51 79 76 86]
"K1nW", Hash=80.25; Replacements: 15 (j-Z m-S u-j l-x T-q P-8 4-t k-k d-6 z-v D-H n-r y-A a-V g-f); Result: "K1rW"
"EIu4Y0YnnFCAjGMF", Hash=80.1875; Replacements: 0 (); Result: [69 73 117 52 89 48 89 110 110 70 67 65 106 71 77 70]
"R7L", Hash=71; Replacements: 9 (k-a I-e 9-w N-Y q-L M-9 d-h  -R 3-7); Result: "R7L"
"f7GD3f9cw tnN", Hash=81.5385; Replacements: 16 (D-33 m-71  -159 e-248 F-70 P-192 b-89 M-44 w-136 o-229 N-186 c-123 2-167 U-101 Y-131 W-225); Result: [102 55 71 33 51 102 57 123 136 159 116 110 186]
"3G7fq4", Hash=74; Replacements: 0 (); Result: [51 71 55 102 113 52]
"Fe1", Hash=73.3333; Replacements: 18 (i-C q-z r-j O-m 2-W B-7 g-A e-6 F-O s-8 C-h 3-v I-L n-G h-g u-R m-S Z-N); Result: "O61"
"BJ", Hash=70; Replacements: 19 (V-y T-j t-Z Z-S v-H O-b P-G x-2 B-z h-0 y-x X-a 5-P o-Q 7-i f-e u-  e-t l-m); Result: "zJ"
"1ucDl5HTR9dyMnh9 ", Hash=81.7647; Replacements: 1 (m-179); Result: [49 117 99 68 108 53 72 84 82 57 100 121 77 110 104 57 32]
"Ik4H7R9m2Zz", Hash=79; Shift: 15; Result: "§µ$õ)ú∂-="
"8pU6H B4zzpGRLUmC", Hash=80.8824; Shift: 18; Result: "‡¡Uÿ!Ä	–ÈÈ¡I1Uµ"
"co0z03mQ1dpYb9 zG2", Hash=80.5; Replacements: 6 (A-1 a-8 9-k j-T D-A u-6); Result: "co0z03mQ1dpYbk zG2"
"5Blv5HF0eEs2", Hash=76.9167; Replacements: 3 (J-225 w-3 K-52); Result: [53 66 108 118 53 72 70 48 101 69 115 50]
"APt14hi", Hash=81.5714; Shift: 16; Result: "APt14hi"
"", Hash=0; Shift: 14; Result: ""
"p SRCDL3RLQCYA5h1p", Hash=74.9444; Replacements: 17 (I-52 M-194 g-62 s-102 F-103 Z-119 7-85 V-59 9-163 2-168 W-64  -61 Y-35 d-23 y-58 x-151 L-131); Result: [112 61 83 82 67 68 131 51 82 131 81 67 35 65 53 104 49 112]
"77dp8cKnRMI", Hash=81.2727; Replacements: 16 (w-C u-o X-f  -A D-x 9-e 0-T b-7 8-P e-v y-l S-p k-U E-1 n-u J-g); Result: "77dpPcKuRMI"
"AbmTcyCM2L05I5I", Hash=76.4; Replacements: 2 (e-I g-1); Result: "AbmTcyCM2L05I5I"
"D", Hash=68; Replacements: 4 (z-l d-V p-o 3-3); Result: "D"
"GnBySCY22", Hash=78.5556; Replacements: 10 (K-141 Q-16 N-218 L-86 9-53 g-102 5-195 u-231 b-168 B-112); Result: [71 110 112 121 83 67 89 50 50]
"J6enLRbJ7BbPoF9MP3", Hash=78.5556; Replacements: 8 (3-192 s-216 x-211  -167 o-191 E-38 N-90 G-210); Result: [74 54 101 110 76 82 98 74 55 66 98 80 191 70 57 77 80 192]
"R", Hash=82; Replacements: 14 (1-5 z-i J-d q-K 2-C B-N d-S 9-Q 4-e K-W n-R h-u X-T A-L); Result: "R"
"dts4W67WdT5zLJi5JGB", Hash=81.2632; Replacements: 7 (E-o 0-8 l-e H-d e-7 R-  W-a); Result: "dts4a67adT5zLJi5JGB"
"MH0hnTA0nZ", Hash=80.8; Replacements: 2 (i-T Y-h); Result: "MH0hnTA0nZ"
"CN6ElqBm3", Hash=79.4444; Replacements: 5 (F-188 1-66 2-157 h-227  -238); Result: [67 78 54 69 108 113 66 109 51]
"OD3Hv", Hash=77.6; Replacements: 2 (c-107 n-183); Result: [79 68 51 72 118]
"ELN", Hash=74.3333; Replacements: 18 (2-R 4-r w-M O-C B-t V-S 3-1 y-6 0-d  -2 s-l F-F 5-y R-H z-b M-z v-x K-B); Result: "ELN"
"", Hash=0; Replacements: 4 (Z-46 a-55 A-4 0-132); Result: []
"BPBaB", Hash=75; Shift: 13; Result: "H
H,H"
"cV77Lu45 ", Hash=69.4444; Replacements: 18 (x-211 9-167 6-236 u-91 f-36 C-74 B-20 M-41 3-6 8-60 K-56 4-169 X-171 l-45 V-120 U-118 y-79 o-57); Result: [99 120 55 55 76 91 169 53 32]
"1X", Hash=68.5; Shift: 1; Result: "b∞"
" Vz1KB9GLXuqoY", Hash=82.2857; Shift: 5; Result: " O&iH'ËâÆ.Ì+"
"", Hash=0; Replacements: 5 (a-  T-M X-G D-9 9-v); Result: ""
"DZC9jH7pGE8fQcZvW03", Hash=78.8947; Shift: 1; Result: "à¥Ür‘ên‡éäpÃ¢∆¥ÏÆ`f"
"", Hash=0; Replacements: 7 (X-226 W-116 h-235 w-215 V-158 6-138 u-164); Result: []
"h5 woPBd3Hp6U", Hash=79.9231; Replacements: 9 (I-w A-u u-3 J-k M-i 3-K k-g 5-X E-Q); Result: "hX woPBdKHp6U"
"SHsP0 7SHv", Hash=75.8; Replacements: 15 (9-S f-2 F-W q-r G-H b-y n-a k-T C-M x-f T-v 8-h K-j Z-e V-m); Result: "SHsP0 7SHv"
"b1rEESZ iCfHSAnlBaG", Hash=81.5789; Replacements: 12 (N-112 i-55 0-243 7-75 H-246 n-239 I-176 s-133 R-27 K-70 B-120 A-207); Result: [98 49 114 69 69 83 90 32 55 67 102 246 83 207 239 108 120 97 71]
"BO", Hash=72.5; Replacements: 17 (v-j 9-U U-D B-n k-Z V-M d-m F-7 b-f r-B A-h h-l e-b 8-v w-k P-A c-w); Result: "nO"
"2N8 6LM", Hash=60.4286; Shift: 15; Result: "'&¶"
"H22K", Hash=61.75; Shift: 3; Result: "BëëZ"
"58y4vP0DkkFVR", Hash=80.6154; Replacements: 11 (n-r v-V j-B V-f Z-k J-m b-L N-g A-I Q-s w-1); Result: "58y4VP0DkkFfR"
"S316CxPBOAnb7XbXaJH", Hash=78.6316; Shift: 4; Result: "53c4á$ÙÊ&sÖ&Ö§Ñ"
"M5UGj", Hash=78.4; Replacements: 8 (Z-150 5-101 w-53 0-251 b-248 n-68 8-203 a-175); Result: [77 101 85 71 106]
"Ta0", Hash=76.3333; Replacements: 8 (Q-Y 1-P N-0 W-i 0-5 L-k y-7 R-g); Result: "Ta5"
"847tKPf90", Hash=71.2222; Shift: 16; Result: "847tKPf90"
"G05or", Hash=79.4; Replacements: 7 (C-Z  -U x-  l-p 1-0 A-j e-z); Result: "G05or"
"pCW13P", Hash=74.3333; Replacements: 20 (b-z B-f Y-G y-g K-u p-c Z-R j-H 4-r d-7 A-L Q-4 G-h M-P E-o 0-w J-5 t-p 7-e l-d); Result: "cCW13P"
"Xl74Zc8no3j12", Hash=78.8462; Shift: 2; Result: "a±‹–iç‡πΩÃ©ƒ»"
"Nj7IXK7z28nQAq Z6xI", Hash=78.7368; Replacements: 12 (g-5 W-I p-V H-e X-X s-d Q-0 o-K 9-z S-D 1-o x-F); Result: "Nj7IXK7z28n0Aq Z6FI"
"", Hash=0; Replacements: 6 (r-s D-R 1-g P-F e-H y-M); Result: ""
"U9", Hash=71; Shift: 14; Result: "UN"
"TZ8Iz33C", Hash=74.25; Replacements: 18 (t-1 3-36 R-185 m-7 o-107 l-247 U-68 w-231 X-201 P-195 5-94 2-246 x-135 8-213 N-182 a-225 6-143 0-102); Result: [84 90 213 73 122 36 36 67]
"9llC4P2MF3Iod3m", Hash=77.6; Replacements: 18 (c-173 C-187 O-121 a-215 9-57 8-197 y-204 p-190 T-71 A-227 S-219 r-97 G-155 g-169 h-6 l-58 s-61 4-2); Result: [57 58 58 187 2 80 50 77 70 51 73 111 100 51 109]
"f3B", Hash=73; Replacements: 14 (n-28 J-247 p-172 c-90 j-191 q-159 M-71 o-236 A-193 4-1 r-113 a-146 D-174 H-210); Result: [102 51 66]
"3vRDwKb82Y", Hash=80.6; Replacements: 9 (B-W U-8 P-z n-h N-P E-d M-D T-L O-U); Result: "3vRDwKb82Y"
"vGS7XM01O", Hash=74.2222; Shift: 12; Result: "gt5sÖ‘Ù"
"6V", Hash=70; Replacements: 0 (); Result: "6V"
"kOz0 OaK", Hash=79.875; Replacements: 19 (c-166 Y-161 y-240 2-239 G-150 8-149 x-103 T-130 r-113 5-35 g-236 o-25 H-232 3-27 P-23 V-243 t-237 U-227 N-21); Result: [107 79 122 48 32 79 97 75]
"KmC9n69", Hash=75.5714; Replacements: 6 (S-L 6-A d-v x-P y-  K-j); Result: "jmC9nA9"
"YDckbCd5Um1NW3B6", Hash=78.75; Replacements: 20 ( -1 Q-S d-O L-W V-  X-r a-B 1-g 9-M p-D l-E 4-h u-T J-U i-6 j-o s-Z G-K k-Q W-x); Result: "YDcQbCO5UmgNx3B6"
"C5i666t5 lAQ", Hash=70.1667; Shift: 6; Result: "–MZçççMPT"
